Date,Open,High,Low,Close,Adj Close,Volume
2021-09-29,361.1700134277344,363.3699951171875,358.6400146484375,359.2799987792969,349.4476318359375,58076600.0
2021-09-30,360.9700012207031,362.6799926757813,357.1000061035156,357.9599914550781,348.1636962890625,61384600.0
2021-10-01,358.6000061035156,361.25,354.3800048828125,360.17999267578125,350.3229675292969,56375500.0
2021-10-04,358.5199890136719,358.8599853515625,350.32000732421875,352.6199951171875,342.9698486328125,76766000.0
2021-10-05,353.7099914550781,359.69000244140625,353.4800109863281,357.3800048828125,347.5995178222656,47232900.0
2021-10-06,354.0799865722656,359.95001220703125,353.1499938964844,359.6700134277344,349.8269958496094,56806500.0
2021-10-07,362.7999877929688,365.6900024414063,362.25,362.9700012207031,353.0365600585937,39411200.0
2021-10-08,364.0799865722656,364.3200073242188,360.6099853515625,361.1600036621094,351.27618408203125,41822300.0
2021-10-11,359.5799865722656,363.2000122070313,358.29998779296875,358.3900146484375,348.5819396972656,34847200.0
2021-10-12,359.8800048828125,360.3299865722656,356.4800109863281,357.1400146484375,347.3661804199219,43905100.0
2021-10-13,359.510009765625,360.6900024414063,357.42999267578125,360.0,350.1478576660156,40120800.0
2021-10-14,363.6900024414063,366.8500061035156,363.010009765625,366.6300048828125,356.5964050292969,43433900.0
2021-10-15,367.8800048828125,369.05999755859375,366.8200073242188,368.9400024414063,358.8431701660156,40419900.0
2021-10-18,367.6099853515625,372.8699951171875,366.989990234375,372.6499938964844,362.4516906738281,34513500.0
2021-10-19,373.75,375.5199890136719,372.7000122070313,375.4700012207031,365.194580078125,29091000.0
2021-10-20,375.9400024414063,376.5700073242188,373.4599914550781,374.9800109863281,364.7178955078125,31390300.0
2021-10-21,374.1600036621094,377.4700012207031,373.8500061035156,377.2699890136719,366.9451904296875,25469300.0
2021-10-22,375.9800109863281,376.9700012207031,372.3900146484375,374.1000061035156,363.8619689941406,36275800.0
2021-10-25,375.55999755859375,378.8699951171875,373.55999755859375,377.9299926757813,367.5871276855469,32597800.0
2021-10-26,380.2300109863281,382.7099914550781,377.9100036621094,379.1199951171875,368.7445983886719,47191300.0
2021-10-27,379.5799865722656,383.1499938964844,379.30999755859375,380.0,369.60052490234375,45760500.0
2021-10-28,381.9500122070313,384.4800109863281,381.1600036621094,384.2200012207031,373.705078125,38007000.0
